gene,CHR,GENE,START,END,N_SNPS,start_idx_chr,end_idx_chr,chr_start_idx_gw
ERGIC2,12,ERGIC2,29493578,29534143,3,6043,6045,328495
OVCH1,12,OVCH1,29580488,29650619,21,6051,6071,328495
TMTC1,12,TMTC1,29653756,29937692,82,6077,6158,328495
IPO8,12,IPO8,30781921,30848751,6,6300,6305,328495
CAPRIN2,12,CAPRIN2,30862485,30907448,7,6306,6312,328495
TSPAN11,12,TSPAN11,31079837,31145455,27,6351,6377,328495
DDX11,12,DDX11,31226778,31257725,5,6403,6407,328495
FAM60A,12,FAM60A,31433524,31479073,3,6423,6425,328495
MGC24039,12,MGC24039,31535156,31743952,26,6438,6463,328495
MGC50559,12,MGC50559,31812120,31821901,3,6475,6477,328495
AMN1,12,AMN1,31824070,31882108,6,6479,6484,328495
LOC440093,12,LOC440093,31944118,31945175,2,6497,6498,328495
C12orf35,12,C12orf35,32112352,32146041,16,6525,6540,328495
BICD1,12,BICD1,32260184,32531141,44,6573,6616,328495
FGD4,12,FGD4,32655093,32793673,27,6641,6667,328495
DNM1L,12,DNM1L,32832136,32898584,9,6672,6680,328495
PKP2,12,PKP2,32943679,33049780,25,6691,6715,328495
SYT10,12,SYT10,33528347,33592754,7,6770,6776,328495
CPNE8,12,CPNE8,39046001,39299420,15,6908,6922,328495
KIF21A,12,KIF21A,39687029,39836918,15,6954,6968,328495
ABCD2,12,ABCD2,39945021,40013843,5,6977,6981,328495
C12orf40,12,C12orf40,40019971,40115718,10,6983,6992,328495
SLC2A13,12,SLC2A13,40148822,40499661,41,6998,7038,328495
LRRK2,12,LRRK2,40618812,40763086,24,7052,7075,328495
CNTN1,12,CNTN1,41086357,41464094,57,7136,7192,328495
PDZRN4,12,PDZRN4,41831540,41968392,28,7228,7255,328495
GLT8D3,12,GLT8D3,42475647,42538673,6,7328,7333,328495
YAF2,12,YAF2,42550906,42632050,6,7336,7341,328495
PPHLN1,12,PPHLN1,42719946,42842422,14,7349,7362,328495
PRICKLE1,12,PRICKLE1,42853073,42983478,24,7363,7386,328495
ADAMTS20,12,ADAMTS20,43748011,43945724,19,7523,7541,328495
PUS7L,12,PUS7L,44122411,44152596,6,7570,7575,328495
IRAK4,12,IRAK4,44152752,44181899,8,7576,7583,328495
TWF1,12,TWF1,44187525,44200178,2,7584,7585,328495
TMEM117,12,TMEM117,44229961,44783541,63,7590,7652,328495
NELL2,12,NELL2,44902064,45270138,56,7658,7713,328495
DBX2,12,DBX2,45408538,45444882,8,7727,7734,328495
PLEKHA9,12,PLEKHA9,45566846,45609789,4,7748,7751,328495
TMEM16F,12,TMEM16F,45609902,45826132,27,7752,7778,328495
ARID2,12,ARID2,46123619,46301819,10,7839,7848,328495
SFRS2IP,12,SFRS2IP,46312913,46384401,10,7851,7860,328495
SLC38A1,12,SLC38A1,46576840,46663208,21,7890,7910,328495
SLC38A2,12,SLC38A2,46751970,46766547,5,7914,7918,328495
SLC38A4,12,SLC38A4,47158543,47219735,12,7955,7966,328495
FAM113B,12,FAM113B,47610051,47630443,4,8028,8031,328495
RPAP3,12,RPAP3,48057073,48099774,3,8102,8104,328495
P11,12,P11,48103527,48119350,4,8107,8110,328495
RAPGEF3,12,RAPGEF3,48131025,48152685,6,8114,8119,328495
HDAC7,12,HDAC7,48176506,48213763,13,8122,8134,328495
VDR,12,VDR,48235319,48298814,31,8141,8171,328495
TMEM106C,12,TMEM106C,48357991,48362661,5,8182,8186,328495
COL2A1,12,COL2A1,48366747,48398285,9,8187,8195,328495
SENP1,12,SENP1,48436756,48499641,6,8206,8211,328495
PFKM,12,PFKM,48513027,48539887,2,8213,8214,328495
OR10AD1,12,OR10AD1,48596121,48597075,4,8222,8225,328495
H1FNT,12,H1FNT,48722762,48724062,3,8238,8240,328495
C12orf54,12,C12orf54,48877022,48890167,5,8260,8264,328495
OR8S1,12,OR8S1,48919414,48921886,6,8268,8273,328495
LALBA,12,LALBA,48961466,48963829,2,8285,8286,328495
C12orf41,12,C12orf41,49046994,49076035,3,8293,8295,328495
CCNT1,12,CCNT1,49086751,49110781,4,8298,8301,328495
ADCY6,12,ADCY6,49159974,49182820,5,8310,8314,328495
CACNB3,12,CACNB3,49212511,49222724,2,8322,8323,328495
DDX23,12,DDX23,49223538,49245957,5,8324,8328,328495
CCDC65,12,CCDC65,49297931,49315358,5,8334,8338,328495
ARF3,12,ARF3,49329991,49351252,5,8342,8346,328495
WNT10B,12,WNT10B,49359122,49365543,2,8351,8352,328495
DDN,12,DDN,49388932,49393088,3,8356,8358,328495
MLL2,12,MLL2,49412757,49449107,6,8359,8364,328495
TUBA1A,12,TUBA1A,49578582,49582861,2,8378,8379,328495
TUBA1C,12,TUBA1C,49658864,49667113,2,8390,8391,328495
TROAP,12,TROAP,49716970,49725514,2,8401,8402,328495
SPATS2,12,SPATS2,49760687,49921207,11,8409,8419,328495
C12orf25,12,C12orf25,49981287,49999354,2,8425,8426,328495
FMNL3,12,FMNL3,50031723,50101197,7,8427,8433,328495
TEGT,12,TEGT,50135292,50158717,3,8437,8439,328495
KIAA1602,12,KIAA1602,50184934,50222208,2,8445,8446,328495
BCDIN3D,12,BCDIN3D,50231557,50236875,2,8449,8450,328495
FAIM2,12,FAIM2,50260679,50297720,14,8454,8467,328495
AQP2,12,AQP2,50344528,50352664,4,8496,8499,328495
AQP6,12,AQP6,50366619,50370922,2,8506,8507,328495
RACGAP1,12,RACGAP1,50382944,50419307,4,8510,8513,328495
ACCN2,12,ACCN2,50451486,50477394,6,8519,8524,328495
SMARCD1,12,SMARCD1,50478982,50494494,2,8525,8526,328495
LASS5,12,LASS5,50523580,50561097,3,8530,8532,328495
LIMA1,12,LIMA1,50569562,50677353,7,8534,8540,328495
LARP4,12,LARP4,50794649,50873788,6,8550,8555,328495
DIP2B,12,DIP2B,50898767,51142450,26,8558,8583,328495
ATF1,12,ATF1,51157818,51214907,8,8586,8593,328495
TMPRSS12,12,TMPRSS12,51236700,51281663,9,8594,8602,328495
HIGD1C,12,HIGD1C,51347781,51364289,4,8608,8611,328495
SLC11A2,12,SLC11A2,51379776,51420142,3,8613,8615,328495
LETMD1,12,LETMD1,51442083,51454207,3,8618,8620,328495
FAM130A1,12,FAM130A1,51454989,51477333,4,8621,8624,328495
TFCP2,12,TFCP2,51488619,51566664,8,8626,8633,328495
POU6F1,12,POU6F1,51582964,51611477,6,8637,8642,328495
DAZAP2,12,DAZAP2,51632625,51637567,3,8647,8649,328495
LOC57228,12,LOC57228,51639132,51664202,8,8650,8657,328495
BIN2,12,BIN2,51674821,51717938,10,8659,8668,328495
ELA1,12,ELA1,51722226,51740463,3,8669,8671,328495
GALNT6,12,GALNT6,51745832,51785200,16,8672,8687,328495
SLC4A8,12,SLC4A8,51818593,51902980,12,8694,8705,328495
SCN8A,12,SCN8A,51985019,52202299,27,8718,8744,328495
ANKRD33,12,ANKRD33,52281792,52285505,4,8770,8773,328495
ACVRL1,12,ACVRL1,52301201,52317145,4,8780,8783,328495
ACVR1B,12,ACVR1B,52345485,52390860,7,8792,8798,328495
GRASP,12,GRASP,52400747,52409671,3,8803,8805,328495
KRT80,12,KRT80,52562779,52585784,13,8837,8849,328495
KRT7,12,KRT7,52626953,52642709,5,8862,8866,328495
KRT86,12,KRT86,52695648,52702947,3,8882,8884,328495
KRT83,12,KRT83,52708084,52715182,5,8889,8893,328495
KRT84,12,KRT84,52771595,52779417,6,8911,8916,328495
KRT82,12,KRT82,52787734,52800176,6,8920,8925,328495
KRT75,12,KRT75,52817853,52828110,5,8932,8936,328495
KRT5,12,KRT5,52908358,52914243,4,8947,8950,328495
KRT71,12,KRT71,52937692,52946903,8,8962,8969,328495
KRT74,12,KRT74,52959602,52967609,9,8973,8981,328495
KRT72,12,KRT72,52979372,52995292,7,8985,8991,328495
KRT73,12,KRT73,53001353,53012343,4,8993,8996,328495
KRT2,12,KRT2,53038341,53045959,5,9003,9007,328495
KRT1,12,KRT1,53068519,53074191,3,9012,9014,328495
KRT77,12,KRT77,53083409,53097247,4,9016,9019,328495
KRT76,12,KRT76,53161938,53171105,5,9037,9041,328495
KRT4,12,KRT4,53200332,53208335,3,9051,9053,328495
KRT79,12,KRT79,53215230,53228077,8,9059,9066,328495
KRT78,12,KRT78,53232745,53242778,4,9067,9070,328495
KRT18,12,KRT18,53342654,53346685,2,9091,9092,328495
EIF4B,12,EIF4B,53400061,53435993,7,9104,9110,328495
TENC1,12,TENC1,53440809,53458162,5,9113,9117,328495
SPRYD3,12,SPRYD3,53458397,53473138,4,9118,9121,328495
SOAT2,12,SOAT2,53497273,53518323,9,9125,9133,328495
ZNF740,12,ZNF740,53574534,53584654,4,9140,9143,328495
ITGB7,12,ITGB7,53585106,53601000,3,9144,9146,328495
RARG,12,RARG,53604352,53626036,9,9147,9155,328495
ESPL1,12,ESPL1,53662082,53687427,7,9159,9165,328495
SP7,12,SP7,53720359,53729537,4,9170,9173,328495
SP1,12,SP1,53773978,53810226,4,9179,9182,328495
PCBP2,12,PCBP2,53845885,53874946,2,9186,9187,328495
MAP3K12,12,MAP3K12,53874279,53893271,2,9188,9189,328495
ATF7,12,ATF7,53905842,54020199,7,9191,9197,328495
CALCOCO1,12,CALCOCO1,54104901,54121219,5,9217,9221,328495
HOXC10,12,HOXC10,54378945,54384062,3,9270,9272,328495
HOXC9,12,HOXC9,54393876,54397120,3,9274,9276,328495
HOXC6,12,HOXC6,54410641,54424607,7,9278,9284,328495
HOXC4,12,HOXC4,54410641,54449814,9,9278,9286,328495
CBX5,12,CBX5,54624729,54673915,6,9319,9324,328495
COPZ1,12,COPZ1,54718910,54745633,2,9328,9329,328495
ZNF385A,12,ZNF385A,54762919,54778481,3,9331,9333,328495
GTSF1,12,GTSF1,54849735,54867386,2,9341,9342,328495
NCKAP1L,12,NCKAP1L,54891494,54936899,18,9347,9364,328495
PDE1B,12,PDE1B,54943403,54973023,16,9366,9381,328495
PPP1R1A,12,PPP1R1A,54973023,54982443,2,9382,9383,328495
KIAA0748,12,KIAA0748,55343928,55375622,10,9445,9454,328495
NEUROD4,12,NEUROD4,55413728,55423801,4,9466,9469,328495
OR9K2,12,OR9K2,55523552,55524560,3,9488,9490,328495
OR6C74,12,OR6C74,55641071,55642010,4,9495,9498,328495
OR6C1,12,OR6C1,55714383,55715322,3,9509,9511,328495
OR10P1,12,OR10P1,56030675,56031617,2,9551,9552,328495
METTL7B,12,METTL7B,56075329,56078394,3,9562,9564,328495
ITGA7,12,ITGA7,56078353,56101627,5,9565,9569,328495
CIP29,12,CIP29,56151057,56211506,8,9577,9584,328495
DNAJC14,12,DNAJC14,56214743,56223420,2,9586,9587,328495
MMP19,12,MMP19,56229213,56236735,3,9588,9590,328495
WIBG,12,WIBG,56295196,56321697,5,9595,9599,328495
DGKA,12,DGKA,56324945,56347807,2,9600,9601,328495
SILV,12,SILV,56347888,56359826,3,9602,9604,328495
CDK2,12,CDK2,56360555,56366568,2,9606,9607,328495
IKZF4,12,IKZF4,56414688,56432219,3,9614,9616,328495
ERBB3,12,ERBB3,56473891,56497128,4,9620,9623,328495
FAM62A,12,FAM62A,56522053,56538454,4,9632,9635,328495
SMARCC2,12,SMARCC2,56557126,56583277,3,9639,9641,328495
RNF41,12,RNF41,56598285,56615735,4,9643,9646,328495
ANKRD52,12,ANKRD52,56631590,56652143,2,9648,9649,328495
COQ10A,12,COQ10A,56660641,56664750,2,9651,9652,328495
CS,12,CS,56665482,56694175,4,9654,9657,328495
PAN2,12,PAN2,56710717,56727825,3,9660,9662,328495
STAT2,12,STAT2,56735381,56753909,3,9663,9665,328495
TIMELESS,12,TIMELESS,56810906,56843166,9,9670,9678,328495
MIP,12,MIP,56843883,56848429,5,9679,9683,328495
GLS2,12,GLS2,56864735,56882181,6,9685,9690,328495
RBMS2,12,RBMS2,56915725,56983608,12,9693,9704,328495
BAZ2A,12,BAZ2A,56989379,57030163,5,9706,9710,328495
PTGES3,12,PTGES3,57057124,57082078,6,9714,9719,328495
NACA,12,NACA,57106210,57119326,5,9722,9726,328495
SDR-O,12,SDR-O,57317616,57328045,3,9741,9743,328495
RDH16,12,RDH16,57345215,57351418,4,9747,9750,328495
ZBTB39,12,ZBTB39,57392617,57400230,2,9754,9755,328495
TAC3,12,TAC3,57403783,57410325,3,9756,9758,328495
MYO1A,12,MYO1A,57422300,57443893,8,9759,9766,328495
TMEM194A,12,TMEM194A,57449425,57472543,2,9767,9768,328495
NAB2,12,NAB2,57482676,57489259,3,9770,9772,328495
STAT6,12,STAT6,57489192,57505161,8,9773,9780,328495
LRP1,12,LRP1,57522281,57607125,32,9783,9814,328495
NXPH4,12,NXPH4,57610577,57620226,4,9815,9818,328495
R3HDM2,12,R3HDM2,57647547,57704246,5,9821,9825,328495
GLI1,12,GLI1,57853933,57866045,6,9840,9845,328495
ARHGAP9,12,ARHGAP9,57866037,57873633,4,9846,9849,328495
MBD6,12,MBD6,57916658,57923931,2,9852,9853,328495
DCTN2,12,DCTN2,57924093,57940978,2,9854,9855,328495
KIF5A,12,KIF5A,57943846,57978554,5,9856,9860,328495
PIP4K2C,12,PIP4K2C,57985056,57997031,3,9861,9863,328495
SLC26A10,12,SLC26A10,58013692,58019934,3,9868,9870,328495
B4GALNT1,12,B4GALNT1,58019550,58026985,2,9871,9872,328495
OS9,12,OS9,58087885,58115340,3,9877,9879,328495
CDK4,12,CDK4,58142002,58146164,2,9885,9886,328495
FAM119B,12,FAM119B,58166382,58176324,3,9889,9891,328495
TSFM,12,TSFM,58176535,58191367,3,9893,9895,328495
AVIL,12,AVIL,58191442,58209852,5,9896,9900,328495
CTDSP2,12,CTDSP2,58213709,58240747,2,9901,9902,328495
XRCC6BP1,12,XRCC6BP1,58335444,58351052,2,9916,9917,328495
LRIG3,12,LRIG3,59265936,59314262,13,10063,10075,328495
SLC16A7,12,SLC16A7,60083125,60175408,6,10164,10169,328495
FAM19A2,12,FAM19A2,62102040,62586551,83,10359,10441,328495
USP15,12,USP15,62654186,62799898,7,10448,10454,328495
MON2,12,MON2,62860596,62991363,14,10459,10472,328495
PPM1H,12,PPM1H,63037763,63328665,93,10479,10571,328495
AVPR1A,12,AVPR1A,63540215,63546590,2,10600,10601,328495
DPY19L2,12,DPY19L2,63952692,64062354,20,10642,10661,328495
TMEM5,12,TMEM5,64173636,64202887,5,10677,10681,328495
SRGAP1,12,SRGAP1,64238540,64537562,59,10687,10745,328495
C12orf66,12,C12orf66,64586418,64616076,4,10757,10760,328495
C12orf56,12,C12orf56,64660762,64784345,14,10765,10778,328495
XPOT,12,XPOT,64798232,64842463,3,10783,10785,328495
TBK1,12,TBK1,64845936,64895891,5,10787,10791,328495
RASSF3,12,RASSF3,65004292,65089192,15,10814,10828,328495
GNS,12,GNS,65107221,65153226,3,10834,10836,328495
WIF1,12,WIF1,65444405,65515116,10,10882,10891,328495
LEMD3,12,LEMD3,65563370,65642107,6,10898,10903,328495
MSRB3,12,MSRB3,65672487,65860687,17,10910,10926,328495
HMGA2,12,HMGA2,66218239,66360071,25,10988,11012,328495
TMBIM4,12,TMBIM4,66530716,66563807,7,11049,11055,328495
IRAK3,12,IRAK3,66583016,66642385,6,11059,11064,328495
HELB,12,HELB,66696355,66731958,9,11081,11089,328495
GRIP1,12,GRIP1,66742798,67072753,55,11091,11145,328495
CAND1,12,CAND1,67663060,67708388,4,11256,11259,328495
DYRK2,12,DYRK2,68042511,68056444,3,11327,11329,328495
MDM1,12,MDM1,68688345,68726161,5,11425,11429,328495
RAP1B,12,RAP1B,69004651,69054374,5,11503,11507,328495
LOC643752,12,LOC643752,69004695,69054250,5,11503,11507,328495
NUP107,12,NUP107,69080730,69136473,10,11511,11520,328495
SLC35E3,12,SLC35E3,69139935,69159853,3,11521,11523,328495
MDM2,12,MDM2,69201979,69234214,5,11532,11536,328495
CPM,12,CPM,69244955,69357020,31,11538,11568,328495
CPSF6,12,CPSF6,69633316,69668138,4,11628,11631,328495
LYZ,12,LYZ,69742133,69748013,2,11640,11641,328495
YEATS4,12,YEATS4,69753531,69784576,3,11644,11646,328495
FRS2,12,FRS2,69864128,69973562,11,11670,11680,328495
BEST3,12,BEST3,70047388,70093196,11,11689,11699,328495
RAB3IP,12,RAB3IP,70132630,70216984,10,11707,11716,328495
CNOT2,12,CNOT2,70636776,70748773,7,11767,11773,328495
KCNMB4,12,KCNMB4,70760061,70824978,9,11776,11784,328495
PTPRB,12,PTPRB,70910631,71031219,45,11797,11841,328495
PTPRR,12,PTPRR,71031861,71314584,65,11842,11906,328495
TSPAN8,12,TSPAN8,71518876,71551779,6,11931,11936,328495
LGR5,12,LGR5,71833812,71978621,24,11975,11998,328495
CCDC131,12,CCDC131,72003381,72057749,7,12000,12006,328495
RAB21,12,RAB21,72148657,72181150,5,12016,12020,328495
TBC1D15,12,TBC1D15,72233538,72318095,7,12030,12036,328495
TPH2,12,TPH2,72332625,72426221,18,12039,12056,328495
TRHDE,12,TRHDE,72666462,73059422,44,12090,12133,328495
KCNC2,12,KCNC2,75433895,75603511,26,12355,12380,328495
CAPS2,12,CAPS2,75669758,75723836,6,12392,12397,328495
KRR1,12,KRR1,75891418,75905418,5,12407,12411,328495
PHLDA1,12,PHLDA1,76419226,76425556,3,12549,12551,328495
NAP1L1,12,NAP1L1,76439955,76478450,4,12554,12557,328495
BBS10,12,BBS10,76738265,76742222,2,12613,12614,328495
OSBPL8,12,OSBPL8,76745577,76953589,14,12615,12628,328495
ZDHHC17,12,ZDHHC17,77157853,77247474,9,12667,12675,328495
CSRP2,12,CSRP2,77252495,77272799,5,12676,12680,328495
E2F7,12,E2F7,77415025,77459360,11,12705,12715,328495
NAV3,12,NAV3,78225068,78606790,80,12836,12915,328495
SYT1,12,SYT1,79611282,79844842,37,13075,13111,328495
PAWR,12,PAWR,79985744,80084790,10,13123,13132,328495
PPP1R12A,12,PPP1R12A,80168185,80328711,11,13150,13160,328495
LIN7A,12,LIN7A,81191170,81331694,21,13296,13316,328495
ACSS3,12,ACSS3,81471808,81649582,23,13337,13359,328495
PPFIA2,12,PPFIA2,81653355,82153109,45,13360,13404,328495
CCDC59,12,CCDC59,82746088,82752199,2,13474,13475,328495
C12orf26,12,C12orf26,82752323,82872945,13,13476,13488,328495
TMTC2,12,TMTC2,83080933,83528065,83,13514,13596,328495
SLC6A15,12,SLC6A15,85253266,85306574,4,13791,13794,328495
LRRIQ1,12,LRRIQ1,85430098,85638883,15,13809,13823,328495
ALX1,12,ALX1,85674035,85695561,3,13829,13831,328495
RASSF9,12,RASSF9,86198330,86230318,4,13871,13874,328495
NTS,12,NTS,86268074,86276765,2,13880,13881,328495
MGAT4C,12,MGAT4C,86373036,87232681,87,13891,13977,328495
C12orf50,12,C12orf50,88373815,88423176,7,14087,14093,328495
CEP290,12,CEP290,88442789,88535993,9,14094,14102,328495
KITLG,12,KITLG,88886566,88974238,10,14123,14132,328495
DUSP6,12,DUSP6,89741836,89746296,3,14238,14240,328495
WDR51B,12,WDR51B,89813502,89919777,18,14253,14270,328495
GALNT4,12,GALNT4,89913189,89918535,6,14265,14270,328495
ATP2B1,12,ATP2B1,89981825,90049844,8,14277,14284,328495
C12orf12,12,C12orf12,91345991,91348953,2,14442,14443,328495
EPYC,12,EPYC,91357458,91398803,4,14444,14447,328495
KERA,12,KERA,91444270,91452131,2,14452,14453,328495
DCN,12,DCN,91539034,91576806,3,14462,14464,328495
CLLU1OS,12,CLLU1OS,92813869,92821924,3,14671,14673,328495
CLLU1,12,CLLU1,92817734,92824730,4,14672,14675,328495
PLEKHG7,12,PLEKHG7,93130310,93165868,6,14733,14738,328495
EEA1,12,EEA1,93166284,93323107,16,14739,14754,328495
NUDT4,12,NUDT4,93771700,93797024,6,14853,14858,328495
UBE2N,12,UBE2N,93802087,93836026,5,14860,14864,328495
MRPL42,12,MRPL42,93861269,93896432,5,14866,14870,328495
SOCS2,12,SOCS2,93963597,93969978,2,14888,14889,328495
CRADD,12,CRADD,94071150,94244531,35,14912,14946,328495
PLXNC1,12,PLXNC1,94542498,94699225,53,15033,15085,328495
CCDC41,12,CCDC41,94702055,94853764,15,15086,15100,328495
TMCC3,12,TMCC3,94960899,95044324,30,15135,15164,328495
NDUFA12,12,NDUFA12,95365109,95397511,5,15258,15262,328495
NR2C1,12,NR2C1,95414057,95467404,2,15266,15267,328495
FGD6,12,FGD6,95470524,95611240,25,15268,15292,328495
VEZT,12,VEZT,95611521,95696566,12,15293,15304,328495
METAP2,12,METAP2,95867821,95909613,9,15341,15349,328495
USP44,12,USP44,95910886,95945263,10,15350,15359,328495
NTN4,12,NTN4,96051582,96184536,48,15400,15447,328495
SNRPF,12,SNRPF,96252708,96260238,3,15469,15471,328495
CCDC38,12,CCDC38,96260826,96336428,31,15473,15503,328495
AMDHD1,12,AMDHD1,96337070,96362369,4,15504,15507,328495
HAL,12,HAL,96367141,96390071,13,15509,15521,328495
LTA4H,12,LTA4H,96394610,96429365,3,15528,15530,328495
ELK3,12,ELK3,96588206,96661606,13,15578,15590,328495
PCTK2,12,PCTK2,96672039,96794223,12,15593,15604,328495
C12orf63,12,C12orf63,97041752,97159048,20,15651,15670,328495
NEDD1,12,NEDD1,97301243,97346041,4,15684,15687,328495
TMPO,12,TMPO,98909408,98942735,4,15999,16002,328495
IKIP,12,IKIP,99007181,99038589,4,16012,16015,328495
APAF1,12,APAF1,99039077,99129211,10,16016,16025,328495
ANKS1B,12,ANKS1B,99129070,100378432,188,16026,16213,328495
FAM71C,12,FAM71C,100041534,100043826,2,16187,16188,328495
UHRF1BP1L,12,UHRF1BP1L,100430862,100536642,10,16217,16226,328495
ACTR6,12,ACTR6,100594573,100618201,3,16233,16235,328495
DEPDC4,12,DEPDC4,100646041,100660857,4,16238,16241,328495
SCYL2,12,SCYL2,100661548,100733914,3,16242,16244,328495
SLC17A8,12,SLC17A8,100750993,100815837,12,16247,16258,328495
NR1H4,12,NR1H4,100867678,100957643,14,16266,16279,328495
GAS2L3,12,GAS2L3,100967488,101018685,8,16281,16288,328495
TMEM16D,12,TMEM16D,101188584,101522408,57,16309,16365,328495
SLC5A8,12,SLC5A8,101549993,101604016,12,16369,16380,328495
UTP20,12,UTP20,101673904,101780397,18,16400,16417,328495
ARL1,12,ARL1,101786914,101801572,4,16418,16421,328495
SPIC,12,SPIC,101870656,101880775,4,16440,16443,328495
MYBPC1,12,MYBPC1,101988746,102079658,23,16478,16500,328495
CHPT1,12,CHPT1,102091416,102122846,6,16509,16514,328495
GNPTAB,12,GNPTAB,102139276,102224632,18,16516,16533,328495
DRAM,12,DRAM,102271104,102317401,8,16537,16544,328495
CCDC53,12,CCDC53,102406716,102455899,4,16570,16573,328495
NUP37,12,NUP37,102467972,102512361,2,16575,16576,328495
C12orf48,12,C12orf48,102513955,102591298,7,16577,16583,328495
IGF1,12,IGF1,102789644,102874378,13,16608,16620,328495
PAH,12,PAH,103232103,103311381,12,16694,16705,328495
C12orf42,12,C12orf42,103695732,103889749,29,16759,16787,328495
STAB2,12,STAB2,103981068,104160502,62,16806,16867,328495
NT5DC3,12,NT5DC3,104166087,104234975,14,16869,16882,328495
HSP90B1,12,HSP90B1,104324188,104341703,6,16904,16909,328495
TDG,12,TDG,104359616,104382656,5,16914,16918,328495
GLT8D2,12,GLT8D2,104382764,104443915,12,16919,16930,328495
HCFC2,12,HCFC2,104458235,104500303,5,16936,16940,328495
TXNRD1,12,TXNRD1,104609558,104744062,11,16947,16957,328495
CHST11,12,CHST11,104850777,105151883,107,16996,17102,328495
SLC41A2,12,SLC41A2,105198362,105322433,8,17114,17121,328495
ALDH1L2,12,ALDH1L2,105418201,105478236,17,17133,17149,328495
KIAA1033,12,KIAA1033,105501491,105562906,6,17153,17158,328495
APPL2,12,APPL2,105567074,105630008,17,17160,17176,328495
NUAK1,12,NUAK1,106457124,106533811,29,17323,17351,328495
CKAP4,12,CKAP4,106631789,106641713,3,17371,17373,328495
TCP11L2,12,TCP11L2,106696580,106740792,10,17388,17397,328495
POLR3B,12,POLR3B,106751488,106903975,17,17400,17416,328495
RFX4,12,RFX4,106977032,107156581,21,17432,17452,328495
RIC8B,12,RIC8B,107168398,107283094,9,17453,17461,328495
C12orf23,12,C12orf23,107349704,107367761,2,17469,17470,328495
CRY1,12,CRY1,107385141,107487598,11,17471,17481,328495
BTBD11,12,BTBD11,107712196,108053419,70,17512,17581,328495
PWP1,12,PWP1,108079589,108106257,6,17588,17593,328495
PRDM4,12,PRDM4,108126642,108154914,4,17594,17597,328495
ASCL4,12,ASCL4,108168161,108170415,3,17599,17601,328495
WSCD2,12,WSCD2,108523510,108644313,28,17664,17691,328495
CMKLR1,12,CMKLR1,108685346,108733086,21,17706,17726,328495
FICD,12,FICD,108909050,108913380,2,17754,17755,328495
SART3,12,SART3,108915990,108955165,9,17756,17764,328495
TMEM119,12,TMEM119,108983621,108991894,3,17772,17774,328495
SELPLG,12,SELPLG,109015679,109027670,6,17779,17784,328495
CORO1C,12,CORO1C,109038886,109125295,14,17789,17802,328495
SSH1,12,SSH1,109180969,109251351,8,17808,17815,328495
DAO,12,DAO,109273856,109294710,7,17818,17824,328495
USP30,12,USP30,109490379,109525831,8,17836,17843,328495
ALKBH2,12,ALKBH2,109525995,109531245,4,17844,17847,328495
UNG,12,UNG,109535414,109548798,2,17849,17850,328495
ACACB,12,ACACB,109577201,109706030,42,17856,17897,328495
FOXN4,12,FOXN4,109715782,109747025,5,17901,17905,328495
MYO1H,12,MYO1H,109826487,109886178,16,17912,17927,328495
KCTD10,12,KCTD10,109886459,109915155,5,17928,17932,328495
UBE3B,12,UBE3B,109915438,109974507,5,17933,17937,328495
MMAB,12,MMAB,109991520,110011358,5,17942,17946,328495
MVK,12,MVK,110011499,110035071,3,17947,17949,328495
C12orf34,12,C12orf34,110172571,110208299,3,17982,17984,328495
TRPV4,12,TRPV4,110220893,110271212,11,17988,17998,328495
GLTP,12,GLTP,110288747,110318293,3,18000,18002,328495
TCHP,12,TCHP,110338322,110355868,4,18004,18007,328495
GIT2,12,GIT2,110367608,110434100,3,18009,18011,328495
ANKRD13A,12,ANKRD13A,110437234,110477235,5,18012,18016,328495
FLJ40142,12,FLJ40142,110478982,110505500,3,18017,18019,328495
ATP2A2,12,ATP2A2,110719031,110788897,7,18033,18039,328495
ANAPC7,12,ANAPC7,110811948,110841432,4,18042,18045,328495
GPN3,12,GPN3,110890290,110906064,2,18048,18049,328495
RAD9B,12,RAD9B,110940004,110969891,3,18052,18054,328495
PPTC7,12,PPTC7,110972236,111021064,5,18055,18059,328495
TCTN1,12,TCTN1,111051879,111086935,3,18061,18063,328495
HVCN1,12,HVCN1,111086490,111127617,2,18064,18065,328495
PPP1CC,12,PPP1CC,111157614,111180757,3,18068,18070,328495
CCDC63,12,CCDC63,111284810,111345338,11,18088,18098,328495
MYL2,12,MYL2,111348623,111358404,4,18100,18103,328495
CUX2,12,CUX2,111471828,111788356,49,18119,18167,328495
SH2B3,12,SH2B3,111843751,111889427,3,18173,18175,328495
ATXN2,12,ATXN2,111890017,112037480,8,18176,18183,328495
BRAP,12,BRAP,112079949,112123790,6,18186,18191,328495
ACAD10,12,ACAD10,112123901,112194901,7,18192,18198,328495
ALDH2,12,ALDH2,112204345,112247784,4,18201,18204,328495
MAPKAPK5,12,MAPKAPK5,112280278,112331228,2,18208,18209,328495
TMEM116,12,TMEM116,112369102,112450935,3,18213,18215,328495
C12orf30,12,C12orf30,112464492,112546597,9,18217,18225,328495
TRAFD1,12,TRAFD1,112563380,112591412,2,18227,18228,328495
C12orf51,12,C12orf51,112598110,112744038,7,18230,18236,328495
PTPN11,12,PTPN11,112856535,112947717,8,18239,18246,328495
RPH3A,12,RPH3A,113229741,113335246,35,18294,18328,328495
